category1,category2,industry_Type,attribute_Type,attribute_Name,purchaseIndex,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,热门基础属性,适用性别,中性,"3,342","2,762",2019-10-09 09:06:37
童装,儿童防晒衣/皮肤衣,热门基础属性,适用性别,女童,"1,108","1,674",2019-10-09 09:06:37
童装,儿童防晒衣/皮肤衣,热门基础属性,适用性别,男童,307,686,2019-10-09 09:06:37
童装,儿童防晒衣/皮肤衣,热门基础属性,适用性别,中性/男女均可,248,76,2019-10-09 09:06:37
童装,儿童内衣内裤,热门基础属性,适用性别,儿童通用,657,234,2019-10-09 09:06:38
童装,儿童内衣内裤,热门基础属性,适用性别,男童,184,41,2019-10-09 09:06:38
童装,儿童内衣内裤,热门基础属性,适用性别,女童,55,29,2019-10-09 09:06:38
童装,儿童袜,热门基础属性,适合季节,秋季,"234,279","62,582",2019-10-09 09:06:38
童装,儿童袜,热门基础属性,适合季节,春季,"177,463","56,592",2019-10-09 09:06:38
童装,儿童袜,热门基础属性,适合季节,冬季,"170,398","48,486",2019-10-09 09:06:38
童装,儿童袜,热门基础属性,适合季节,春秋,"115,438","80,429",2019-10-09 09:06:38
童装,儿童袜,热门基础属性,适合季节,夏季,"99,081","63,256",2019-10-09 09:06:38
童装,连身衣、爬服,热门基础属性,袖长,长袖,"305,670","91,456",2019-10-09 09:06:39
童装,连身衣、爬服,热门基础属性,袖长,短袖,"45,702","39,404",2019-10-09 09:06:39
童装,连身衣、爬服,热门基础属性,袖长,无袖,"25,834","22,169",2019-10-09 09:06:39
童装,亲子装,热门基础属性,适用人群,家庭装,"89,851","34,601",2019-10-09 09:06:39
童装,亲子装,热门基础属性,适用人群,母女装,"36,404","22,902",2019-10-09 09:06:39
童装,亲子装,热门基础属性,适用人群,母子装,"4,275","3,156",2019-10-09 09:06:39
童装,亲子装,热门基础属性,适用人群,父子装,847,765,2019-10-09 09:06:39
童装,亲子装,热门基础属性,适用人群,父女装,97,82,2019-10-09 09:06:39
童装,童T恤,热门基础属性,袖长,长袖,"187,274","83,901",2019-10-09 09:06:40
童装,童T恤,热门基础属性,袖长,短袖,"94,741","121,482",2019-10-09 09:06:40
童装,童T恤,热门基础属性,袖长,无袖,"3,476","6,317",2019-10-09 09:06:40
童装,童T恤,热门基础属性,袖长,五分袖/中袖,"1,384","1,081",2019-10-09 09:06:40
童装,童T恤,热门基础属性,袖长,七分,"1,083",790,2019-10-09 09:06:40
童装,童背心/吊带衫,热门基础属性,适合季节,夏季,"9,894","8,339",2019-10-09 09:06:42
童装,童背心/吊带衫,热门基础属性,适合季节,秋季,"7,274","2,768",2019-10-09 09:06:42
童装,童背心/吊带衫,热门基础属性,适合季节,冬季,"5,775","1,998",2019-10-09 09:06:42
童装,童背心/吊带衫,热门基础属性,适合季节,春季,"4,945","2,511",2019-10-09 09:06:42
童装,童背心/吊带衫,热门基础属性,适合季节,春秋,"3,533","1,488",2019-10-09 09:06:42
童装,童表演服/舞蹈服/摄影服,热门基础属性,适用性别,中性/男女均可,"54,117","65,267",2019-10-09 09:06:43
童装,童表演服/舞蹈服/摄影服,热门基础属性,适用性别,中性,547,356,2019-10-09 09:06:43
