公司名,编号,地区,主要产品,主要市场,交易量,交易额
Zhongshan Shaxi Bon Yip Garment Factory  ,1,Zhongshan,"T-shirt,Sweatshirt,Jacket,Trousers,Suits","Domestic Market 50.0%', 'Southeast Asia 40.0%', 'South Asia 5.0%",98,10000
"Yiwu Qiaomao Garment Co.,ltd  ",1,Yiwu,"100% cotton ruffle pants,baby soft outfits,kids fashion outfits,cotton japamas,kids ruffle dresses","Western Europe 95%', 'Domestic Market 5%",46,90000
"Guangzhou Shuliqi Garment Co., Ltd.  ",1,Guangzhou,"T-Shirt,Tank Top,Hoodies,Short,Tracksuit","North America 28.0%', 'Western Europe 25.0%', 'Oceania 10.0%",122,110000
"Yiwu Mingzhen Apparel Co., Ltd.  ",1,Yiwu,"Baby clothing,Baby romper,Girls dress,Baby pants,Kid ', 'clothes","North America 35%', 'Oceania 25%', 'South America 10%",61,170000
"Shaoxing Ecou Textile Co., Ltd.  ",1,Shaoxing,"Organic Cotton Knitting Fabric,Organic Cotton Woven Fabric,Bamboo Fabric,Hemp Fabric,Recycled Polyester Cotton Fabric,Fabric","North America 32.0%', 'Western Europe 24.0%', 'Domestic Market 20.0%",20,1100000
Yiwu Lulu E-Commerce Firm  ,1,Yiwu,"baby ', 'clothes', ',', 'children', ' ', 'clothes', ',infant ', 'clothes', ',boy ', 'clothes', ',', 'children', ' boy ', 'clothes",,161,90000
"Guangzhou Tailor Fashion Co., Ltd.  ",1,Guangzhou,"Pajamas,Dress,Underwear,LED Shoes,Swimwear","Western Europe 15%', 'Southeast Asia 15%', 'Africa 15%",221,90000
"Shenzhen Jinyunsen Technology Co., Ltd.  ",1,Shenzhen,"baby/kids ', 'clothes', ',baby/kids shoes,neoprene wetsuits,Adults ', 'clothes', ',', 'child', ' products",,145,40000
"Shanghai FullyStar Apparel Co., Ltd.  ",1,Shanghai,"Knitted Clothing,Woven Clothing","North America 28%', 'Eastern Asia 23%', 'South America 13%",5,10000
"Shanghai Leesourcing Apparel Co., Ltd.  ",1,Shanghai,"Baby Cloth,', 'Children', ' Cloth,Baby Romper,Baby Dress,Hat,Girl Dress","North America 60.0%', 'Western Europe 10.0%', 'Domestic Market 10.0%",36,30000
"Shantou Xueguo Clothing Industry Co., Ltd.  ",1,Shantou,"Women Pajamas,Sleepwear,', 'Children', ' Clothing,Robe,Baby Clothing","Mid East 60.0%', 'Southeast Asia 10.0%', 'Domestic Market 10.0%",21,20000
"Yiwu Dolike Clothing Co., Ltd.  ",1,Yiwu,Baby clothing,"North America 80%', 'South America 20%",60,90000
