category1,category2,industry_Type,attribute_Name,index_Type,percentage
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,0~16.3元,24.8
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,16.3~27.9元,28.4
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,27.9~39元,32.0
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,39~55元,9.81
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,55~80元,3.43
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,>=80元,1.57
童装,儿童内衣内裤,价格带分布,1688浏览商品分布,0~8元,15.84
童装,儿童内衣内裤,价格带分布,1688浏览商品分布,8~15.6元,22.28
童装,儿童内衣内裤,价格带分布,1688浏览商品分布,15.6~27元,43.07
童装,儿童内衣内裤,价格带分布,1688浏览商品分布,27~40元,13.86
童装,儿童内衣内裤,价格带分布,1688浏览商品分布,40~56.7元,3.96
童装,儿童内衣内裤,价格带分布,1688浏览商品分布,>=56.7元,0.99
童装,儿童袜,价格带分布,1688浏览商品分布,0~2.9元,28.17
童装,儿童袜,价格带分布,1688浏览商品分布,2.9~10元,38.17
童装,儿童袜,价格带分布,1688浏览商品分布,10~24元,25.48
童装,儿童袜,价格带分布,1688浏览商品分布,24~35.2元,5.42
童装,儿童袜,价格带分布,1688浏览商品分布,35.2~47.7元,1.81
童装,儿童袜,价格带分布,1688浏览商品分布,>=47.7元,0.95
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,0~16.9元,17.45
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,16.9~25.5元,29.71
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,25.5~42.8元,29.58
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,42.8~65元,15.47
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,65~92.8元,5.55
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,>=92.8元,2.24
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,0~16.9元,17.62
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,16.9~31.4元,29.2
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,31.4~53元,31.16
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,53~81元,14.06
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,81~111元,4.91
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,>=111元,3.06
童装,儿童防晒衣/皮肤衣,价格带分布,1688浏览商品分布,0~12.5元,22.09
