category1,category2,showtime,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,2018-10-01,159,665,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-02,86,662,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-03,170,661,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-04,164,658,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-05,185,655,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-06,183,652,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-07,188,650,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-08,179,644,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-09,206,639,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-10,179,632,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-11,201,626,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-12,215,623,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-13,215,618,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-14,216,616,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-15,191,614,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-16,202,607,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-17,213,604,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-18,190,600,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-19,182,592,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-20,184,585,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-21,193,585,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-22,184,584,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-23,134,580,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-24,97,575,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-25,93,572,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-26,109,568,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-27,102,563,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-28,100,561,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-29,63,558,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-30,152,557,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-10-31,171,553,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-01,93,549,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-02,99,547,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-03,84,542,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-04,78,538,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-05,56,537,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-06,78,534,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-07,94,532,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-08,87,531,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-09,84,529,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-11-10,82,529,2019-10-01 20:42:30
