category1,category2,showtime,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,2019-10-31,183,652,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-01,188,650,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-02,179,644,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-03,206,639,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-04,179,632,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-05,201,626,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-06,215,623,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-07,215,618,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-08,216,616,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-09,191,614,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-10,202,607,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-11,213,604,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-12,190,600,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-13,182,592,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-14,184,585,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-15,193,585,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-16,184,584,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-17,134,580,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-18,97,575,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-19,93,572,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-20,109,568,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-21,102,563,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-22,100,561,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-23,63,558,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-24,152,557,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-25,171,553,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-26,93,549,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-27,99,547,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-28,84,542,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-29,78,538,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-11-30,56,537,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-01,78,534,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-02,94,532,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-03,87,531,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-04,84,529,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-05,82,529,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-06,78,529,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-07,105,529,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-08,91,529,2019-10-06 13:59:22
童装,儿童防晒衣/皮肤衣,2018-12-09,82,529,2019-10-06 13:59:22
